date,section_id,employees_on_duty,total_task_time_minutes,is_holiday,is_weekend,year,month,dayofweek,quarter,is_working_day,predicted_employee_count,predicted_task_time_minutes,employee_lower_bound,employee_upper_bound,task_time_lower_bound,task_time_upper_bound
2025-01-01,SEC-001,0,0.0,0,0,2025,1,2,1,1,2,768.999685139344,1,4,81.37315517037065,1462.0495447816286
2025-01-01,SEC-002,0,0.0,0,0,2025,1,2,1,1,4,1435.331363528017,2,6,564.5199012825694,2272.236395323444
2025-01-01,SEC-003,0,0.0,0,0,2025,1,2,1,1,2,846.2825131582199,1,4,219.5331538629245,1466.171153233172
2025-01-01,SEC-004,0,0.0,0,0,2025,1,2,1,1,3,964.580187386047,1,5,209.5604957795727,1687.1000936495734
2025-01-01,SEC-005,0,0.0,0,0,2025,1,2,1,1,6,2503.621947628073,2,11,760.7073141752467,4359.026473735773
2025-01-01,SEC-006,0,0.0,0,0,2025,1,2,1,1,5,1947.285423770893,2,8,679.6013565245023,3144.1289619803583
2025-01-02,SEC-001,0,0.0,0,0,2025,1,3,1,1,2,754.1501166561126,1,4,72.6383389809423,1475.7781770375636
2025-01-02,SEC-002,0,0.0,0,0,2025,1,3,1,1,4,1411.870585947108,2,6,636.2361032990417,2194.3753598842904
2025-01-02,SEC-003,0,0.0,0,0,2025,1,3,1,1,2,846.5818549497419,1,4,177.01792663401724,1480.5425993915617
2025-01-02,SEC-004,0,0.0,0,0,2025,1,3,1,1,3,981.2207076505874,1,5,284.72686230102,1769.6430123555103
2025-01-02,SEC-005,0,0.0,0,0,2025,1,3,1,1,7,2671.3311923659408,2,12,928.4109864817854,4643.910352565343
2025-01-02,SEC-006,0,0.0,0,0,2025,1,3,1,1,5,1944.7688474698673,2,8,713.7488669051454,3206.1611869583667
2025-01-03,SEC-001,0,0.0,0,0,2025,1,4,1,1,2,678.8720488502283,1,4,-62.775933321037975,1427.7147145955769
2025-01-03,SEC-002,0,0.0,0,0,2025,1,4,1,1,4,1410.2038535758616,2,6,613.506351858529,2289.316914919022
2025-01-03,SEC-003,0,0.0,0,0,2025,1,4,1,1,2,830.7168399976728,1,4,190.7810984983436,1394.6304945126117
2025-01-03,SEC-004,0,0.0,0,0,2025,1,4,1,1,3,995.0093349481881,1,5,309.92640483380063,1738.2109617007059
