date,section_id,employees_on_duty,total_task_time_minutes,employees_on_duty_7days_ago,employees_on_duty_rolling_mean_7,avg_task_time_per_employee,productivity_per_employee,day_of_week,holiday_name,is_holiday,month,weekend,is_working_day,day_num,dow_Monday,dow_Tuesday,dow_Wednesday,dow_Thursday,dow_Friday,dow_Saturday,dow_Sunday,dow_sin,dow_cos,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,month_sin,month_cos
2021-01-01,1,1.0,834.5694834000001,1.0,1.0,834.5694834000001,834.5694834000001,Friday,0,0,1,0,1,4,False,False,False,False,True,False,False,-0.433883739117558,-0.9009688679024191,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0
2021-01-01,2,4.0,1525.3689896166666,4.0,4.0,381.3422474041666,381.3422474041666,Friday,0,0,1,0,1,4,False,False,False,False,True,False,False,-0.433883739117558,-0.9009688679024191,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0
2021-01-01,3,2.0,662.0952785333334,2.0,2.0,331.0476392666667,331.0476392666667,Friday,0,0,1,0,1,4,False,False,False,False,True,False,False,-0.433883739117558,-0.9009688679024191,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0
2021-01-01,4,4.0,1499.1126195333334,4.0,4.0,374.7781548833333,374.7781548833333,Friday,0,0,1,0,1,4,False,False,False,False,True,False,False,-0.433883739117558,-0.9009688679024191,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0
2021-01-01,5,3.0,1238.5330730833332,3.0,3.0,412.8443576944444,412.8443576944444,Friday,0,0,1,0,1,4,False,False,False,False,True,False,False,-0.433883739117558,-0.9009688679024191,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0
2021-01-01,6,11.0,4283.154645283334,11.0,11.0,389.3776950257576,389.3776950257576,Friday,0,0,1,0,1,4,False,False,False,False,True,False,False,-0.433883739117558,-0.9009688679024191,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0
2021-01-02,1,0.0,0.0,0.0,0.5,0.0,,Saturday,0,0,1,1,0,5,False,False,False,False,False,True,False,-0.9749279121818236,-0.2225209339563146,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0
2021-01-02,2,0.0,0.0,0.0,2.0,0.0,,Saturday,0,0,1,1,0,5,False,False,False,False,False,True,False,-0.9749279121818236,-0.2225209339563146,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0
2021-01-02,3,0.0,0.0,0.0,1.0,0.0,,Saturday,0,0,1,1,0,5,False,False,False,False,False,True,False,-0.9749279121818236,-0.2225209339563146,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0
2021-01-02,4,0.0,0.0,0.0,2.0,0.0,,Saturday,0,0,1,1,0,5,False,False,False,False,False,True,False,-0.9749279121818236,-0.2225209339563146,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0
2021-01-02,5,0.0,0.0,0.0,1.5,0.0,,Saturday,0,0,1,1,0,5,False,False,False,False,False,True,False,-0.9749279121818236,-0.2225209339563146,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0
2021-01-02,6,0.0,0.0,0.0,5.5,0.0,,Saturday,0,0,1,1,0,5,False,False,False,False,False,True,False,-0.9749279121818236,-0.2225209339563146,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0
2021-01-03,1,0.0,0.0,0.0,0.3333333333333333,0.0,,Sunday,0,0,1,1,0,6,False,False,False,False,False,False,True,-0.7818314824680299,0.6234898018587334,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0
2021-01-03,2,0.0,0.0,0.0,1.3333333333333333,0.0,,Sunday,0,0,1,1,0,6,False,False,False,False,False,False,True,-0.7818314824680299,0.6234898018587334,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0
2021-01-03,3,0.0,0.0,0.0,0.6666666666666666,0.0,,Sunday,0,0,1,1,0,6,False,False,False,False,False,False,True,-0.7818314824680299,0.6234898018587334,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0
2021-01-03,4,0.0,0.0,0.0,1.3333333333333333,0.0,,Sunday,0,0,1,1,0,6,False,False,False,False,False,False,True,-0.7818314824680299,0.6234898018587334,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0
2021-01-03,5,0.0,0.0,0.0,1.0,0.0,,Sunday,0,0,1,1,0,6,False,False,False,False,False,False,True,-0.7818314824680299,0.6234898018587334,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0
2021-01-03,6,0.0,0.0,0.0,3.6666666666666665,0.0,,Sunday,0,0,1,1,0,6,False,False,False,False,False,False,True,-0.7818314824680299,0.6234898018587334,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0
2021-01-04,1,1.0,767.6985057333334,1.0,0.5,767.6985057333334,767.6985057333334,Monday,0,0,1,0,1,0,True,False,False,False,False,False,False,0.0,1.0,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0
2021-01-04,2,7.0,2717.7702752833334,7.0,2.75,388.2528964690477,388.2528964690477,Monday,0,0,1,0,1,0,True,False,False,False,False,False,False,0.0,1.0,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0
