date,section_id,employees_on_duty,total_task_time_minutes,is_holiday,is_weekend
2021-01-01,SEC-001,1,834.5694834000001,0,0
2021-01-01,SEC-002,4,1525.3689896166666,0,0
2021-01-01,SEC-003,2,662.0952785333334,0,0
2021-01-01,SEC-004,4,1499.1126195333334,0,0
2021-01-01,SEC-005,3,1238.5330730833332,0,0
2021-01-01,SEC-006,11,4283.154645283334,0,0
2021-01-02,SEC-001,0,0.0,0,1
2021-01-02,SEC-002,0,0.0,0,1
2021-01-02,SEC-003,0,0.0,0,1
2021-01-02,SEC-004,0,0.0,0,1
2021-01-02,SEC-005,0,0.0,0,1
2021-01-02,SEC-006,0,0.0,0,1
2021-01-03,SEC-001,0,0.0,0,1
2021-01-03,SEC-002,0,0.0,0,1
2021-01-03,SEC-003,0,0.0,0,1
2021-01-03,SEC-004,0,0.0,0,1
2021-01-03,SEC-005,0,0.0,0,1
2021-01-03,SEC-006,0,0.0,0,1
2021-01-04,SEC-001,1,767.6985057333334,0,0
2021-01-04,SEC-002,7,2717.7702752833334,0,0
2021-01-04,SEC-003,6,2485.334695533333,0,0
2021-01-04,SEC-004,6,2097.88459905,0,0
2021-01-04,SEC-005,4,1556.5208289166667,0,0
2021-01-04,SEC-006,6,1873.9238191833333,0,0
2021-01-05,SEC-001,4,1530.652494616667,0,0
2021-01-05,SEC-002,6,2177.4744047833333,0,0
2021-01-05,SEC-003,3,459.1718610166666,0,0
2021-01-05,SEC-004,4,1138.46477735,0,0
2021-01-05,SEC-005,6,2411.3194177666664,0,0
2021-01-05,SEC-006,5,1933.8675960333333,0,0
2021-01-06,SEC-001,2,481.22908995,0,0
2021-01-06,SEC-002,5,1814.4012066166667,0,0
2021-01-06,SEC-003,3,873.1738832833333,0,0
2021-01-06,SEC-004,1,623.1215389833334,0,0
2021-01-06,SEC-005,9,3670.9184564666666,0,0
2021-01-06,SEC-006,10,4451.014037066667,0,0
2021-01-07,SEC-001,2,681.67488515,0,0
2021-01-07,SEC-002,3,1158.1189880666666,0,0
2021-01-07,SEC-003,1,91.10959605,0,0
2021-01-07,SEC-004,3,1061.9995743833333,0,0
2021-01-07,SEC-005,5,1908.75741865,0,0
2021-01-07,SEC-006,5,1807.2403881166667,0,0
2021-01-08,SEC-001,3,928.5925710833334,0,0
2021-01-08,SEC-002,4,1421.3705858333333,0,0
2021-01-08,SEC-003,4,858.5522617166666,0,0
2021-01-08,SEC-004,3,729.0954453,0,0
2021-01-08,SEC-005,11,4483.23567235,0,0
2021-01-08,SEC-006,2,1009.9400023,0,0
2021-01-09,SEC-001,0,0.0,0,1
2021-01-09,SEC-002,0,0.0,0,1
2021-01-09,SEC-003,0,0.0,0,1
2021-01-09,SEC-004,0,0.0,0,1
2021-01-09,SEC-005,0,0.0,0,1
2021-01-09,SEC-006,0,0.0,0,1
2021-01-10,SEC-001,0,0.0,0,1
2021-01-10,SEC-002,0,0.0,0,1
2021-01-10,SEC-003,0,0.0,0,1
2021-01-10,SEC-004,0,0.0,0,1
2021-01-10,SEC-005,0,0.0,0,1
2021-01-10,SEC-006,0,0.0,0,1
2021-01-11,SEC-001,5,1471.81571555,0,0
2021-01-11,SEC-002,8,3076.2025515833334,0,0
2021-01-11,SEC-003,2,512.2962848166667,0,0
2021-01-11,SEC-004,4,1888.5798506333333,0,0
2021-01-11,SEC-005,7,2733.519423733333,0,0
2021-01-11,SEC-006,15,6002.254558083333,0,0
2021-01-12,SEC-001,4,891.04246335,0,0
2021-01-12,SEC-002,5,1787.1547278,0,0
2021-01-12,SEC-003,3,1157.9528590833334,0,0
2021-01-12,SEC-004,2,754.9932270166667,0,0
2021-01-12,SEC-005,15,6538.459734066667,0,0
2021-01-12,SEC-006,11,4233.11470135,0,0
2021-01-13,SEC-001,3,813.8272610333333,0,0
2021-01-13,SEC-002,6,2390.8892508833333,0,0
2021-01-13,SEC-003,5,1692.70551625,0,0
2021-01-13,SEC-004,3,889.2263438833334,0,0
2021-01-13,SEC-005,7,2516.3267979666666,0,0
2021-01-13,SEC-006,6,2387.9416142166665,0,0
2021-01-14,SEC-001,0,0.0,1,0
2021-01-14,SEC-002,0,0.0,1,0
2021-01-14,SEC-003,0,0.0,1,0
2021-01-14,SEC-004,0,0.0,1,0
2021-01-14,SEC-005,0,0.0,1,0
2021-01-14,SEC-006,0,0.0,1,0
2021-01-15,SEC-001,3,1142.7058715666667,0,0
2021-01-15,SEC-002,7,2113.8582321666668,0,0
2021-01-15,SEC-003,3,1122.262090016667,0,0
2021-01-15,SEC-004,4,1440.6080940666666,0,0
2021-01-15,SEC-005,9,4095.3556785166666,0,0
2021-01-15,SEC-006,11,4414.4112161,0,0
2021-01-16,SEC-001,0,0.0,0,1
2021-01-16,SEC-002,0,0.0,0,1
2021-01-16,SEC-003,0,0.0,0,1
2021-01-16,SEC-004,0,0.0,0,1
2021-01-16,SEC-005,0,0.0,0,1
2021-01-16,SEC-006,0,0.0,0,1
2021-01-17,SEC-001,0,0.0,0,1
2021-01-17,SEC-002,0,0.0,0,1
2021-01-17,SEC-003,0,0.0,0,1
2021-01-17,SEC-004,0,0.0,0,1
2021-01-17,SEC-005,0,0.0,0,1
2021-01-17,SEC-006,0,0.0,0,1
2021-01-18,SEC-001,2,281.73061781666667,0,0
2021-01-18,SEC-002,6,2895.7709750333333,0,0
2021-01-18,SEC-003,2,803.8240555333333,0,0
2021-01-18,SEC-004,4,1315.2737474333333,0,0
2021-01-18,SEC-005,20,7953.4314896,0,0
2021-01-18,SEC-006,9,3974.047912,0,0
2021-01-19,SEC-001,1,137.96541184999998,0,0
2021-01-19,SEC-002,4,1170.1810898666668,0,0
2021-01-19,SEC-003,3,924.4264720166668,0,0
2021-01-19,SEC-004,2,616.5251045333333,0,0
2021-01-19,SEC-005,5,2122.9821510666666,0,0
2021-01-19,SEC-006,8,2626.558476933333,0,0
2021-01-20,SEC-001,4,1148.0054492666666,0,0
2021-01-20,SEC-002,5,1432.057291716667,0,0
2021-01-20,SEC-003,3,458.94048333333336,0,0
2021-01-20,SEC-004,3,572.0423386166667,0,0
2021-01-20,SEC-005,5,2067.5650814166665,0,0
2021-01-20,SEC-006,9,3465.97896065,0,0
2021-01-21,SEC-001,3,1099.8256650333333,0,0
2021-01-21,SEC-002,7,2188.442746516667,0,0
2021-01-21,SEC-003,2,691.9939625666666,0,0
2021-01-21,SEC-004,2,739.6930912,0,0
2021-01-21,SEC-005,14,5658.475451316666,0,0
2021-01-21,SEC-006,6,2425.191857433333,0,0
2021-01-22,SEC-001,3,1101.4910238333334,0,0
2021-01-22,SEC-002,6,1938.54149985,0,0
2021-01-22,SEC-003,2,516.4184499333334,0,0
2021-01-22,SEC-004,2,657.0618859333333,0,0
2021-01-22,SEC-005,12,5250.361039433334,0,0
2021-01-22,SEC-006,6,2640.18019095,0,0
2021-01-23,SEC-001,0,0.0,0,1
2021-01-23,SEC-002,0,0.0,0,1
2021-01-23,SEC-003,0,0.0,0,1
2021-01-23,SEC-004,0,0.0,0,1
2021-01-23,SEC-005,0,0.0,0,1
2021-01-23,SEC-006,0,0.0,0,1
2021-01-24,SEC-001,0,0.0,0,1
2021-01-24,SEC-002,0,0.0,0,1
2021-01-24,SEC-003,0,0.0,0,1
2021-01-24,SEC-004,0,0.0,0,1
2021-01-24,SEC-005,0,0.0,0,1
2021-01-24,SEC-006,0,0.0,0,1
2021-01-25,SEC-001,3,1112.4838493166667,0,0
2021-01-25,SEC-002,5,1617.6493791166663,0,0
2021-01-25,SEC-003,2,1124.7505543666666,0,0
2021-01-25,SEC-004,6,1868.2215252166664,0,0
2021-01-25,SEC-005,10,4098.20319835,0,0
2021-01-25,SEC-006,16,6586.531708716667,0,0
2021-01-26,SEC-001,4,1282.1878600666666,0,0
2021-01-26,SEC-002,6,2904.380975716667,0,0
2021-01-26,SEC-003,3,761.6915125333334,0,0
2021-01-26,SEC-004,4,1273.9479586333332,0,0
2021-01-26,SEC-005,12,4825.967833366667,0,0
2021-01-26,SEC-006,5,1824.4127151,0,0
2021-01-27,SEC-001,1,266.1778843166667,0,0
2021-01-27,SEC-002,3,1654.2119115833334,0,0
2021-01-27,SEC-003,3,988.4796306833332,0,0
2021-01-27,SEC-004,7,2578.6138596,0,0
2021-01-27,SEC-005,10,4063.6292341666663,0,0
2021-01-27,SEC-006,3,894.96349855,0,0
2021-01-28,SEC-001,0,0.0,1,0
2021-01-28,SEC-002,0,0.0,1,0
2021-01-28,SEC-003,0,0.0,1,0
2021-01-28,SEC-004,0,0.0,1,0
2021-01-28,SEC-005,0,0.0,1,0
2021-01-28,SEC-006,0,0.0,1,0
2021-01-29,SEC-001,7,2385.9135734,0,0
2021-01-29,SEC-002,4,1260.9745423166669,0,0
2021-01-29,SEC-003,4,1154.4852957166668,0,0
2021-01-29,SEC-004,1,810.5307192666667,0,0
2021-01-29,SEC-005,16,6706.280059533334,0,0
2021-01-29,SEC-006,8,3109.673123233333,0,0
2021-01-30,SEC-001,0,0.0,0,1
2021-01-30,SEC-002,0,0.0,0,1
2021-01-30,SEC-003,0,0.0,0,1
2021-01-30,SEC-004,0,0.0,0,1
2021-01-30,SEC-005,0,0.0,0,1
2021-01-30,SEC-006,0,0.0,0,1
2021-01-31,SEC-001,0,0.0,0,1
2021-01-31,SEC-002,0,0.0,0,1
2021-01-31,SEC-003,0,0.0,0,1
2021-01-31,SEC-004,0,0.0,0,1
2021-01-31,SEC-005,0,0.0,0,1
2021-01-31,SEC-006,0,0.0,0,1
2021-02-01,SEC-001,3,1068.140386583333,0,0
2021-02-01,SEC-002,8,3144.5868985833336,0,0
2021-02-01,SEC-003,3,1055.3293056333332,0,0
2021-02-01,SEC-004,3,1432.1673605666667,0,0
2021-02-01,SEC-005,14,5388.2839198,0,0
2021-02-01,SEC-006,6,2665.30320705,0,0
2021-02-02,SEC-001,3,1130.43848155,0,0
2021-02-02,SEC-002,2,1040.9547245166666,0,0
2021-02-02,SEC-003,2,807.035615,0,0
2021-02-02,SEC-004,4,1386.8391412166666,0,0
2021-02-02,SEC-005,3,1651.4023470333334,0,0
2021-02-02,SEC-006,10,3505.1925404333333,0,0
2021-02-03,SEC-001,1,385.5616067166667,0,0
2021-02-03,SEC-002,4,1275.9616854166666,0,0
2021-02-03,SEC-003,3,1211.66214745,0,0
2021-02-03,SEC-004,1,305.09812905,0,0
2021-02-03,SEC-005,7,3127.372306366666,0,0
2021-02-03,SEC-006,7,2735.365963866667,0,0
2021-02-04,SEC-001,0,0.0,1,0
2021-02-04,SEC-002,0,0.0,1,0
2021-02-04,SEC-003,0,0.0,1,0
2021-02-04,SEC-004,0,0.0,1,0
2021-02-04,SEC-005,0,0.0,1,0
2021-02-04,SEC-006,0,0.0,1,0
2021-02-05,SEC-001,6,2269.3078927,0,0
2021-02-05,SEC-002,4,1590.80245335,0,0
2021-02-05,SEC-003,3,1161.8523229,0,0
2021-02-05,SEC-004,3,496.284624,0,0
2021-02-05,SEC-005,8,2932.27670225,0,0
2021-02-05,SEC-006,5,2241.504747783333,0,0
2021-02-06,SEC-001,0,0.0,0,1
2021-02-06,SEC-002,0,0.0,0,1
2021-02-06,SEC-003,0,0.0,0,1
2021-02-06,SEC-004,0,0.0,0,1
2021-02-06,SEC-005,0,0.0,0,1
2021-02-06,SEC-006,0,0.0,0,1
2021-02-07,SEC-001,0,0.0,0,1
2021-02-07,SEC-002,0,0.0,0,1
2021-02-07,SEC-003,0,0.0,0,1
2021-02-07,SEC-004,0,0.0,0,1
2021-02-07,SEC-005,0,0.0,0,1
2021-02-07,SEC-006,0,0.0,0,1
2021-02-08,SEC-001,5,1389.6339548166666,0,0
2021-02-08,SEC-002,5,2048.484520833333,0,0
2021-02-08,SEC-003,2,681.1394786166667,0,0
2021-02-08,SEC-004,3,874.2166516,0,0
2021-02-08,SEC-005,12,5287.988289366666,0,0
2021-02-08,SEC-006,7,2695.8687175833334,0,0
2021-02-09,SEC-001,3,577.5252873166667,0,0
2021-02-09,SEC-002,4,1832.1590517,0,0
2021-02-09,SEC-003,3,554.4594292833333,0,0
2021-02-09,SEC-004,1,361.90880956666666,0,0
2021-02-09,SEC-005,4,1462.4882249666666,0,0
2021-02-09,SEC-006,7,2261.28008345,0,0
2021-02-10,SEC-001,1,614.3496195833334,0,0
2021-02-10,SEC-002,4,1564.3907287,0,0
2021-02-10,SEC-003,1,607.4000227833333,0,0
2021-02-10,SEC-004,3,1225.2268609,0,0
2021-02-10,SEC-005,9,2943.3113087666666,0,0
2021-02-10,SEC-006,4,1619.5390553,0,0
2021-02-11,SEC-001,1,322.46923725,0,0
2021-02-11,SEC-002,3,932.6825604666668,0,0
2021-02-11,SEC-003,3,705.3711911666667,0,0
2021-02-11,SEC-004,2,780.0111303166667,0,0
2021-02-11,SEC-005,8,2991.6929648833334,0,0
2021-02-11,SEC-006,4,1467.4324921666666,0,0
2021-02-12,SEC-001,3,1043.4848414,0,0
2021-02-12,SEC-002,2,1136.9104369666668,0,0
2021-02-12,SEC-003,3,1106.56078745,0,0
2021-02-12,SEC-004,3,722.4138808,0,0
2021-02-12,SEC-005,5,1945.8087750333332,0,0
2021-02-12,SEC-006,7,2740.314874933333,0,0
2021-02-13,SEC-001,0,0.0,0,1
2021-02-13,SEC-002,0,0.0,0,1
2021-02-13,SEC-003,0,0.0,0,1
2021-02-13,SEC-004,0,0.0,0,1
2021-02-13,SEC-005,0,0.0,0,1
2021-02-13,SEC-006,0,0.0,0,1
