date,section_id,employees_on_duty,total_task_time_minutes,avg_task_time_per_employee,day_of_week,holiday_name,is_holiday,month,weekend,is_working_day,dow_Friday,dow_Monday,dow_Saturday,dow_Sunday,dow_Thursday,dow_Tuesday,dow_Wednesday,day_num,dow_sin,dow_cos,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,month_sin,month_cos,employees_on_duty_7days_ago,employees_on_duty_rolling_mean_7,productivity_per_employee
2021-01-01,SEC-001,1.0,834.5694834000001,834.5694834000001,Friday,0,0,1,0,1,True,False,False,False,False,False,False,4,-0.433883739117558,-0.9009688679024191,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,,1.0,834.5694834000001
2021-01-02,SEC-001,0.0,0.0,0.0,Saturday,0,0,1,1,0,False,False,True,False,False,False,False,5,-0.9749279121818236,-0.2225209339563146,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,,0.5,
2021-01-03,SEC-001,0.0,0.0,0.0,Sunday,0,0,1,1,0,False,False,False,True,False,False,False,6,-0.7818314824680299,0.6234898018587334,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,,0.3333333333333333,
2021-01-04,SEC-001,1.0,767.6985057333334,767.6985057333334,Monday,0,0,1,0,1,False,True,False,False,False,False,False,0,0.0,1.0,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,,0.5,767.6985057333334
2021-01-05,SEC-001,4.0,1530.652494616667,382.6631236541667,Tuesday,0,0,1,0,1,False,False,False,False,False,True,False,1,0.7818314824680298,0.6234898018587336,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,,1.2,382.6631236541667
2021-01-06,SEC-001,2.0,481.22908995,240.614544975,Wednesday,0,0,1,0,1,False,False,False,False,False,False,True,2,0.9749279121818236,-0.22252093395631434,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,,1.3333333333333333,240.614544975
2021-01-07,SEC-001,2.0,681.67488515,340.837442575,Thursday,0,0,1,0,1,False,False,False,False,True,False,False,3,0.43388373911755823,-0.900968867902419,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,,1.4285714285714286,340.837442575
2021-01-08,SEC-001,3.0,928.5925710833334,309.5308570277778,Friday,0,0,1,0,1,True,False,False,False,False,False,False,4,-0.433883739117558,-0.9009688679024191,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,1.0,1.7142857142857142,309.5308570277778
2021-01-09,SEC-001,0.0,0.0,0.0,Saturday,0,0,1,1,0,False,False,True,False,False,False,False,5,-0.9749279121818236,-0.2225209339563146,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,1.7142857142857142,
2021-01-10,SEC-001,0.0,0.0,0.0,Sunday,0,0,1,1,0,False,False,False,True,False,False,False,6,-0.7818314824680299,0.6234898018587334,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,1.7142857142857142,
